id,label,split,text
0,1,train,"This film is a spicy little piece of film-making from Sam Fuller which gives Richard Widmark the chance to show of some of his best , most edgy acting in the role of Skip McCoy , a small-time thief who stumbles onto a military secret while picking beautiful Candy 's ( Jean Peters ) pocket on a crowded bus . It turns out Candy was doing a favor for her ( ex ? ) boyfriend , who 's working for the `` commies '' . Superficially , there 's a mystery here regarding Candy 's motives and Skip spends much of the film determining her motives . Actually he seems to just initially assume that she 's a `` commie '' , going so far as to pour beer in her face in a callous gesture . But the real question is  what 's going on with Skip ? What are his motives , and why does Candy like him so much ? Why do we ( the audience ) want to like him so much ? Basically what the film-makers have done here is create a very striking `` male fatale '' in Widmark 's character and his performance . Just as the male audience tends to ponder through the length of a film like `` The Big Sleep '' or `` The Glass Key '' along with the main characters whether the female character is trustworthy or just a pretty face , the film-makers have here created a similar quandary for female viewers . Widmark is handsome , and there 's also a charm in his boyish insouciance  but the first two times he meets our leading lady , he robs her and then punches her in the face . Eventually the question becomes  would Skip sink so low as to sell out his country for a buck ( his comments to the police , like `` you 're waving a flag at ME ? '' make us suspect he would ) or is he simply out for revenge for the murder of his friend Moe ( Thelma Ritter ) ? I 'm not sure that the film gives us a conclusive answer either way . Thelma Ritter 's character work deserves special mention  she has created a truly indelible character here . Fuller is n't afraid to give her plenty of `` business ''  in the form of physical objects that she uses to draw the audience into her world , particularly her used ties . Another example of Fuller 's `` business '' would be the scene with Victor Perry ( an actor I 've seen elsewhere used to less effect ) using the chopsticks to intimidate Candy . The emphasis on Moe 's relationship with Skip provides one of cinema 's most revealing `` honor among thieves '' themes . In fact Skip has the same kind of ease and the same kind of casual relationship with the police , with the notable exception of Capt . Tiger ( Murvyn Vye ) who has a grudge against him . I loved the scene where he invited the cops in by name and offered them a beer when they came to pick him up at his shack . Those are the kind of details that make this film feel real  whether or not it really is `` realistic '' or whether that would matter are entirely separate questions . All told , I would say this is an essential crime film which displays a lot of the best and most durable attributes of the `` film noir '' school of film-making . A predictable plot is off-set by a host of colorful characters ( uniformly well-performed ) , cheap sets are disguised by the film 's unrelenting pace , and the final product feels a lot more substantial than it probably is . This is the best film I 've seen so far by Sam Fuller and helps me to see better why he 's regarded as a master director  here he accomplished some things that I think he tried but ultimately failed to do in other films like `` The Crimson Kimono '' and `` Shock Corridor '' as far as very emphatic acting styles and really gripping suspense . This is one of my favorite performances from Widmark that I 've seen so far  and Widmark was a talent that I 'm tempted to say ( based on the few extraordinary films I 've seen with him ) was comparable to that of Alan Ladd or Humphrey Bogart , although arguably he did n't make as many classic films ."
1,1,train,"I enjoyed this movie , and after watching it , it made me wonder just how many 'Caitlin Rose 's ' exist in the world.How many other girls have been subjected to this sort of sexual abuse , and torment by classmates and have been too frightened to open their mouth about it ? Just how threatening and cruel can teenagers be towards one another , because as this film demonstrates , who 's right is not foremost important , its who is popular , and feared which manipulates the minds of youths , and influences them to allow this sort of immorality to happen.Tiffani Amber Thiessen gives a powerful performance as the rape victim , and Brian Austin Green is convincing as the guy torn between the girl he thought he loved , and his best friend.This is the kind of film that does n't get the exposure it deserves.Remarkable , and brilliant , too good to be just a film made for TV ."
2,1,train,"I really liked this film . One of those rare films that Hollywood Really does not make anymore . William H Macy Is Just great as the hit man with a soul , and Neve Campbell is just flat out fantastic as the woman who puts his life on the track of redemption . If you have a chance , see this film . It earns it 's praise"
3,1,train,"When people nowadays hear of a 1940s drama , they usually appear to create a distance of irony claiming that it 's another tearjerker with great stars in the lead of tragic , melancholic roles . This opinion , however , does not resemble Neorealist movies , in particular this one directed by Count Luchino Visconti . OSSESSIONE as his debut once censored and once cherished as nearly a realistic masterpiece is still loved by some people and strongly criticized by others . The contradictory opinions about the film that have appeared in these 65 years seem to have been caused by the content of the movie itself , exceptionally controversial for modern times as well as the past . At the same time , while being based on the novel by James M. Cain , THE POSTMAN ALWAYS RINGS TWICE , it is one of the most genuine screen adaptations where director remains his own style , view , his own art . I have seen the film twice and the second viewing led me to very detailed analysis part of which I 'd like to entail below . First , Visconti 's movie seems to touch all psychology and actions that people may do in life , in particular those absorbed by desire . These people make such tragic decisions in spite of terrible consequences they are bound to face . Gino ( Massimo Girotti ) a traveler with `` bear like shoulders '' turns up at the crossroad of a motorway near Ferrara and enters the tavern . Although many people go there to have a meal , Gino occurs to get something more - much more : the indefatigable desire of beautiful Giovanna ( Clara Calamai ) a woman already married to an elderly man who runs the bar , Mr Giuseppe Bragana ( Juan De Landa ) . Her body and her song possess his mind totally and from the moment of their first love , the couple plan to get rid of the old obstacle and build up a new life together ... However , are people bound to wrong deeds in face of desire ? Can one build love upon murder ? What is love and what is loyalty ? Does desire lead to a dangerous addiction or even obsession ? Such questions intensely arise while watching the movie , when , to the core , the viewer is supplied with an insight into characters . `` We have to love each other affectionately '' answers Giovanna seemingly giving a cure to all crying conscience but may desirous love justify and cure everything ? `` Is n't it what we both wanted '' says one of the couple ... it occurs that it 's not . Therefore , the content of the film appears to be very dangerous if not analyzed with intellect and heart . Yet , it constantly remains thought provoking . Second , OSSESSIONE has a very strong point that talks to modern viewers : brilliant moments and marvelous cinematography , which go in pair with memorable sequences and visual power . These make a modern viewer realize that a film made almost 70 years ago is absolutely entertaining to watch . They range from tasteful erotic images to purely technical shots . Who can possibly skip that moment in Ferrara where Gino meets a beautiful girl , a sort of `` Ragazza Perfetta '' ( perfect girl ) , a dancer Anita and buys her ice cream . His desires show him totally different direction ... Do viewers remain indifferent at Gino-Giovanna 's first meeting ? The first focus of camera is on Giovanna 's legs seemingly representing carnal desire over love that Gino experiences . A marvel of shot is Gino and Giovanna leaving the investigation room and the closeup of their shadows that directs our attention towards their suspicious look . Third , OSSESSIONE can boast outstanding performances both from the leading pair as well as the supporting cast . Massimo Girotti once said in an interview that working in this movie had been one of the most difficult jobs he had ever done ; yet , consequently , what comes out is a flawless acting . He portrays a bisexual man torn within desires who commits a crime but can not stand any of the objects that remind him of his victim , which represents conscience . His bisexuality is indicated through the character of Lo Spagnolo ( Elio Marcuzzo ) whom he meets in very surprising circumstances in the train for Ancona . Clara Calamai , who was cast in the role after eminent Anna Magnani had refused , fits very well to the role and we may claim that there is a true chemistry between the couple . They are both very convincing . Besides , I liked Juan De Langa in the role of Bragana : he portrays an old husband not affectionate to his wife and still crazy about high art . In some of his most witty moments , he asks his wife to wash his back or walks in the empty streets singing his favorite opera songs after sort of karaoke performance . In sum , we , as modern viewers who are capable of critical view , have to look at this film very objectively . It is art for sure thanks to the aspects aforementioned , it is a powerful story as well thanks to the controversy it carries ; yet , is it educational ? Visconti was not Fellini who said that he did not carry any message for humanity . In such case , his films would only entertain ( which is , of course , not entirely Fellini 's style , too ) . Visconti always had something to convey . What did he want to say here ? Is the film against bad marriage ? Or is it against wrong actions of people absorbed by desire ? The final shocking moments say for themselves . Though you do n't have to agree with the vision , OSSESSIONE is really a wonderfully realistic film , one of Visconti 's best 8/10"
4,1,train,"Guys and Dolls has to be one of my favorite musical movies ever . It is a very fun movie to watch and nothing more . it embodies what people have forgotten about musicals-musicals were made to entertain , not to to preach . Nowadays we have Rent and Chicago which are great musicals and good movies but they fail to bring us solid entertainment with no strings attached . The only thing that bothered me in the movie was Marlon Brando , the guy ca n't sing ! It was very annoying to listen to him sing and talk when I could n't understand him . If it were n't for Marlon I would have given this 10 stars . Guys and Dolls provides old-fashioned entertainment that we rarely get these days . Watch it to have a good time ! !"
5,1,train,"It 's a strange , yet somehow impressive story , about love . Personnaly , I never run over such a twist-off story in real life . But , I can image there is . It 's a story that promises to be `` sick '' from the title . But , after I watch it , I did n't get this feeling of `` sickness '' which I would surely have regarding society rules . It 's something beautiful in this movie ... something impressive ... which I can not contradict using any moral or society rules . The movie focuses mostly on relation between Kiki and Alex . You can see how this relation starts , evolves and finally ends . You feel the moment when this love blossoms , the first whispers , touchings . You feel the connection . And no moment I though this is immoral . You even hope it will not break in the end ... .it can not break ... it 's not right . You feel the pain of being hart broken in the end ... But , I need also to add a negative spin to this comment ... I do n't know if the story is not somehow *showed* to give the feeling that these relations are sick only in form , but not in content . You do n't have the total story , but only fragments . When movie has started , the relation between Kiki and Sandu was already in place . So , no clue about the nature of the relation . You feel only a tension between them ... a fight between the need for love and desire to break this relation . I think this line of Kiki to Sandu says all : `` I want to stop ... and if you love me , you will do as I ask you '' . This movie will probably stir some questions about what is love and what is to be moral ... and where 's the limit between them . I do n't know if the idea of this movie is `` love conquers all ... even social and moral standards '' or `` love is beautiful ... no matter how or where '' . But in my opinion , this movie is already a success for the simple reason that it makes you think ..."
6,1,train,"Glacier Fox is one of the most heartrending and wonderfully photographed wildlife films ever made . The film makes you care about each member of this fox family , from the blind cub to the strongest - their adventures are at times hilarious and also tragic . Set against an inhospitable countryside , the audience 's hearts warm to the family members . The music score and lyrics tell the story intercut with narration about what is happening in general terms . Man remains one of the biggest predators , but we are left in no doubt that the foxes are capable of living , not just surviving beyond human endeavours ."
7,1,val,"As the Godfather saga was the view of the mafia from the executive suite , this series is a complex tale of the mafia from the working man 's point of view . If you 've never watched this show , you 're in for an extended treat . Yes , there is violence and nudity , but it is never gratuitous and is needed to contrast Tony Soprano , the thinking man 's gangster , with the reality of the life he has been born to and , quite frankly , would not ever have left even knowing how so many of his associates have ended up . Tony Soprano can discuss Sun Tzu with his therapist , then beat a man to death with a frying pan in a fit of rage , and while dismembering and disposing of the body with his nephew , take a break , sit down and watch TV while eating peanut butter out of the jar , and give that nephew advice on his upcoming marriage like they had just finished a Sunday afternoon of viewing NFL football . Even Carmella , his wife , when given a chance for a way out , finds that she really prefers life with Tony and the perks that go with it and looking the other way at his indiscretions versus life on her own . If you followed the whole thing , you know how it ends . If you did n't , trust me you 've never seen a TV show end like this ."
8,1,val,"Atlantis : The Lost Empire has some of the best , smoothest animation and cleverly written dialogue of any Disney movie I 've seen . And I was convinced of that in the first 15 minutes . I especially love Don Novello 's voice work on Vincenzo Santorini and Phil Morris as Joshua Strongbear Sweet . Too bad the whole film seems to move at about double the pace that would be appropriate - at least in the first act . One important aspect of any Disney movie is a satisfying antagonist - which Atlantis does n't provide . He 's average at best . Halfway through the movie there 's a mediocre twist . That 's all . It 's a great movie nevertheless . Everyone should check it out ."
9,1,train,"I think the context of the story has been covered by other posters so I would just like to write about the impact this film had on me . I first saw this film the year of it 's release around 1987 . My school organised a trip to the cinema to see it , for an RE project I think . We all went along of course excited because we were on a school trip to the cinema ! Little did we know what we were about to experience . To this day I still remember the feelings it invoked in me and i remembered crying a lot as were most of my friends . I think at the age we were we found it shocking and quiet rightly outraged in our own youthful way .It had such an impact on me that I joined the Anti Apartheid Movement the same year . I think it served it 's purpose in my case ."
